Date,City,Max cost,,,,
02/04/2018,Croydon,85,,,,
03/04/2018,Croydon,85,,,,
04/04/2018,Croydon,85,,,,
05/04/2018,Croydon,85,,,,
06/04/2018,Croydon,85,,,,
07/04/2018,,,,,,
08/04/2018,,,,,,
09/04/2018,Croydon,85,,,,
10/04/2018,Croydon,85,,,,
11/04/2018,Croydon,85,,,,
12/04/2018,Croydon,85,,,,
13/04/2018,Croydon,85,,,,
14/04/2018,,,,,,
15/04/2018,,,,,,
16/04/2018,Croydon,85,,,,
17/04/2018,Croydon,85,,,,
18/04/2018,Croydon,85,,,,
19/04/2018,Croydon,85,,,,
20/04/2018,Croydon,85,,,,
21/04/2018,,,,,,
22/04/2018,,,,,,
23/04/2018,Croydon,85,,,,
24/04/2018,Croydon,85,,,,
25/04/2018,Croydon,85,,,,
26/04/2018,Croydon,85,,,,
27/04/2018,Croydon,85,,,,
28/04/2018,,,,,,
29/04/2018,,,,,,
30/04/2018,Croydon,85,,,,
01/05/2018,Croydon,85,,,,
02/05/2018,Croydon,85,,,,
03/05/2018,Croydon,85,,,,
04/05/2018,Croydon,85,,,,